gene_symbol	gene_symbol_long	identifier
AKR1	probable aldo-keto reductase 1	glyma.Wm82.gnm2.ann1.Glyma.03g248400
AKT2	Potassium channel AKT2 gene	glyma.Wm82.gnm2.ann1.Glyma.08g187600
ALAAT1	alanine aminotransferase 1	glyma.Wm82.gnm2.ann1.Glyma.16g013900
ALAAT2	alanine aminotransferase 2	glyma.Wm82.gnm2.ann1.Glyma.01g026700
ALAD	delta-aminolevulinic acid dehydratase, chloroplastic	glyma.Wm82.gnm2.ann1.Glyma.04g247700
ALDH10A1	betaine aldehyde dehydrogenase	glyma.Wm82.gnm2.ann1.Glyma.05g033500
ALDH10A2	betaine aldehyde dehydrogenase	glyma.Wm82.gnm2.ann1.Glyma.06g186300
ALDH11A1	aldehyde dehydrogenase 11A1	glyma.Wm82.gnm2.ann1.Glyma.02g202500
ALDH11A2	aldehyde dehydrogenase 11A2	glyma.Wm82.gnm2.ann1.Glyma.17g075300
ALDH11A3	aldehyde dehydrogenase 11A3	glyma.Wm82.gnm2.ann1.Glyma.17g218200
ALDH12A1	aldehyde dehydrogenase 12A1	glyma.Wm82.gnm2.ann1.Glyma.05g029100
ALDH12A2	aldehyde dehydrogenase 12A2	glyma.Wm82.gnm2.ann1.Glyma.05g029200
ALDH12A3	aldehyde dehydrogenase 12A3	glyma.Wm82.gnm2.ann1.Glyma.17g097800
ALDH18B1	delta-1-pyrroline-5-carboxylate synthase	glyma.Wm82.gnm2.ann1.Glyma.01g099800
ALDH18B2	delta-1-pyrroline-5-carboxylate synthase	glyma.Wm82.gnm2.ann1.Glyma.02g251100
ALDH18B3	delta-1-pyrroline-5-carboxylate synthase	glyma.Wm82.gnm2.ann1.Glyma.03g069400
ALDH18B4	delta-1-pyrroline-5-carboxylate synthase	glyma.Wm82.gnm2.ann1.Glyma.14g065600
ALDH22A1	aldehyde dehydrogenase 22A1	glyma.Wm82.gnm2.ann1.Glyma.07g240300
ALDH22A2	aldehyde dehydrogenase 22A2	glyma.Wm82.gnm2.ann1.Glyma.09g036000
ALDH22A3	aldehyde dehydrogenase 22A3	glyma.Wm82.gnm2.ann1.Glyma.15g140900
ALDH22A4	aldehyde dehydrogenase 22A4	glyma.Wm82.gnm2.ann1.Glyma.17g033100
ALDH2B1	aldehyde dehydrogenase family 2 member B1	glyma.Wm82.gnm2.ann1.Glyma.01g031500
ALDH2B2	aldehyde dehydrogenase family 2 member B2	glyma.Wm82.gnm2.ann1.Glyma.02g034000
ALDH2B4	aldehyde dehydrogenase family 2 member B4, mitochondrial	glyma.Wm82.gnm2.ann1.Glyma.06g183900
ALDH2B5	aldehyde dehydrogenase family 2 member B5, mitochondrial	glyma.Wm82.gnm2.ann1.Glyma.08g288000
ALDH2B6	aldehyde dehydrogenase family 2 member B6	glyma.Wm82.gnm2.ann1.Glyma.13g170600
ALDH2B8	aldehyde dehydrogenase family 2 member B8	glyma.Wm82.gnm2.ann1.Glyma.18g137300
ALDH2C1	aldehyde dehydrogenase family 2 member C1	glyma.Wm82.gnm2.ann1.Glyma.05g231800
ALDH2C3	aldehyde dehydrogenase family 2 member C3	glyma.Wm82.gnm2.ann1.Glyma.07g087400
ALDH2C4	aldehyde dehydrogenase family 2 member C4	glyma.Wm82.gnm2.ann1.Glyma.07g087500
ALDH2C5	aldehyde dehydrogenase family 2 member C5	glyma.Wm82.gnm2.ann1.Glyma.08g039200
ALDH2C6	aldehyde dehydrogenase family 2 member C6	glyma.Wm82.gnm2.ann1.Glyma.08g039300
ALDH2C7	aldehyde dehydrogenase family 2 member C7	glyma.Wm82.gnm2.ann1.Glyma.09g189200
ALDH2C8	aldehyde dehydrogenase family 2 member C8	glyma.Wm82.gnm2.ann1.Glyma.09g189300
ALDH2C9	aldehyde dehydrogenase family 2 member C9	glyma.Wm82.gnm2.ann1.Glyma.09g189500
ALDH3F1	aldehyde dehydrogenase family 3 member F1	glyma.Wm82.gnm2.ann1.Glyma.02g051500
ALDH3F2	aldehyde dehydrogenase family 3 member F2	glyma.Wm82.gnm2.ann1.Glyma.16g131700
ALDH3H1	aldehyde dehydrogenase family 3 member H1	glyma.Wm82.gnm2.ann1.Glyma.04g248500
ALDH3H2	aldehyde dehydrogenase family 3 member H2	glyma.Wm82.gnm2.ann1.Glyma.06g114300
ALDH3H3	aldehyde dehydrogenase family 3 member H3	glyma.Wm82.gnm2.ann1.Glyma.13g030400
ALDH3H4	aldehyde dehydrogenase family 3 member H4	glyma.Wm82.gnm2.ann1.Glyma.14g152100
ALDH3I1	aldehyde dehydrogenase family 3 member I1	glyma.Wm82.gnm2.ann1.Glyma.08g002700
ALDH3J1	aldehyde dehydrogenase family 3 member J1	glyma.Wm82.gnm2.ann1.Glyma.11g133300
ALDH3J2	aldehyde dehydrogenase family 3 member J2	glyma.Wm82.gnm2.ann1.Glyma.12g057400
ALDH3J3	aldehyde dehydrogenase family 3 member J3	glyma.Wm82.gnm2.ann1.Glyma.13g340000
ALDH3J4	aldehyde dehydrogenase family 3 member J4	glyma.Wm82.gnm2.ann1.Glyma.15g034400
ALDH5F1	putative succinate-semialdehyde dehydrogenase, mitochondrial	glyma.Wm82.gnm2.ann1.Glyma.08g163700
ALDH5F2	putative succinate-semialdehyde dehydrogenase, mitochondrial	glyma.Wm82.gnm2.ann1.Glyma.15g263500
ALDH6B1	putative methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial	glyma.Wm82.gnm2.ann1.Glyma.07g183600
ALDH6B2	putative methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial	glyma.Wm82.gnm2.ann1.Glyma.08g0666001
ALDH6B3	putative methylmalonate-semialdehyde dehydrogenase [acylating]	glyma.Wm82.gnm2.ann1.Glyma.15g058900
ALDH7B1	aldehyde dehydrogenase family 7 member B1	glyma.Wm82.gnm2.ann1.Glyma.09g070300
ALDH7B2	aldehyde dehydrogenase family 7 member B2	glyma.Wm82.gnm2.ann1.Glyma.15g178400
ALMT1	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.01g083700
ALMT11	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.07g090300
ALMT12	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.08g040700
ALMT13	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.08g260200
ALMT14	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.09g185600
ALMT16	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.10g173400
ALMT17	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.10g275700
ALMT18	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.10g287700
ALMT2	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.01g199400
ALMT21	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.11g042500
ALMT22	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.11g179100
ALMT23	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.12g094400
ALMT24	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.12g188400
ALMT25	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.12g188500
ALMT26	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.17g154200
ALMT27	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.17g154300
ALMT28	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.19g155200
ALMT29	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.19g199900
ALMT3	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.01g223300
ALMT32	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.20g101600
ALMT33	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.20g114100
ALMT34	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.20g216800
ALMT4	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.02g097700
ALMT5	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.02g147900
ALMT6	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.03g152700
ALMT8	aluminum-activated malate transporter family protein	glyma.Wm82.gnm2.ann1.Glyma.05g112700
ALS-1	Acetolactate synthase  gene 1	glyma.Wm82.gnm2.ann1.Glyma.04g196100
ALS-2	Acetolactate synthase  gene 2	glyma.Wm82.gnm2.ann1.Glyma.06g169700
ALS-3	Acetolactate synthase  gene 3	glyma.Wm82.gnm2.ann1.Glyma.13g241000
ALS-4	Acetolactate synthase  gene 4	glyma.Wm82.gnm2.ann1.Glyma.15g072500
ALS1	Acetolactate synthase gene 1	glyma.Wm82.gnm2.ann1.Glyma.04g196100
ALS2	Acetolactate synthase gene 2	glyma.Wm82.gnm2.ann1.Glyma.06g169700
ALS3	Acetolactate synthase gene 3	glyma.Wm82.gnm2.ann1.Glyma.13g241000
ALS4	Acetolactate synthase gene 4	glyma.Wm82.gnm2.ann1.Glyma.15g072500
AMF3	ammonium-facilitator 3	glyma.Wm82.gnm1.ann1.Glyma15g06660
AMF5	ammonium-facilitator 5	glyma.Wm82.gnm1.ann1.Glyma09g33680
AMS1	beta-amyrin synthase	glyma.Wm82.gnm2.ann1.Glyma.07g001300
AMT1.2	ammonium transporter AMT1.2	glyma.Wm82.gnm2.ann1.Glyma.10g132300
AMT1.3	ammonium transporter AMT1.3	glyma.Wm82.gnm2.ann1.Glyma.10g167800
AMT1.4	ammonium transporter AMT1.4	glyma.Wm82.gnm2.ann1.Glyma.10g168100
AMT1.5	ammonium transporter AMT1.5	glyma.Wm82.gnm2.ann1.Glyma.10g168200
AMT1.6	ammonium transporter AMT1.6	glyma.Wm82.gnm2.ann1.Glyma.20g221400
AMT2.1	ammonium transporter AMT2.1	glyma.Wm82.gnm2.ann1.Glyma.07g153800
AMT2.2	ammonium transporter AMT2.2	glyma.Wm82.gnm2.ann1.Glyma.18g204800
AMT2.3	ammonium transporter AMT2.3	glyma.Wm82.gnm2.ann1.Glyma.01g123400
AMT4.1	ammonium transporter 4.1	glyma.Wm82.gnm2.ann1.Glyma.09g281600
AMT4.2	ammonium transporter AMT4.2	glyma.Wm82.gnm2.ann1.Glyma.20g004100
AMT4.3	ammonium transporter AMT4.3	glyma.Wm82.gnm2.ann1.Glyma.19g244400
AMT4.4	ammonium transporter AMT4.4	glyma.Wm82.gnm2.ann1.Glyma.02g043700
AMT4.5	ammonium transporter AMT4.5	glyma.Wm82.gnm2.ann1.Glyma.02g143500
Amy1	Alpha-amylase 1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.04g017700
Amy3	Alpha-amylase 3 gene 1	glyma.Wm82.gnm2.ann1.Glyma.08g296800
AN1	zinc finger A20 and AN1 domain-containing stress-associated protein 5-like	glyma.Wm82.gnm2.ann1.Glyma.08g153200
ANK4	ankyrin repeats-containing protein	glyma.Wm82.gnm2.ann1.Glyma.01g150400
ANK6	ankyrin repeats-containing protein	glyma.Wm82.gnm2.ann1.Glyma.02g033700
ANN11	annexin D4-like	glyma.Wm82.gnm2.ann1.Glyma.15g238400
ANN14	annexin A7-like	glyma.Wm82.gnm2.ann1.Glyma.13g191200
ANNEXIN	annexin D1-like	glyma.Wm82.gnm2.ann1.Glyma.13g088700
ANR1	Anthocyanidin reductase 1	glyma.Wm82.gnm1.ann1.Glyma08g06630
ANR2	Anthocyanidin reductase 2	glyma.Wm82.gnm1.ann1.Glyma08g06640
ANS2	Anthocyanidin synthase 2	glyma.Wm82.gnm2.ann1.Glyma.01g214200
ANS3	Anthocyanidin synthase 3	glyma.Wm82.gnm2.ann1.Glyma.11g027700
AO	ascorbate oxidase	glyma.Wm82.gnm2.ann1.Glyma.20g051700
AOC1	allene oxide cyclase 4, chloroplastic-like	glyma.Wm82.gnm2.ann1.Glyma.01g086900
AOC3	amine oxidase, copper containing 3 (vascular adhesion protein 1)	glyma.Wm82.gnm2.ann1.Glyma.19g044900
AOC4	allene oxide cyclase 3, chloroplastic-like	glyma.Wm82.gnm2.ann1.Glyma.13g047300
AOC5	allene oxide cyclase 4, chloroplastic-like	glyma.Wm82.gnm2.ann1.Glyma.08g256600
AOC6	allene oxide cyclase 4, chloroplastic-like	glyma.Wm82.gnm2.ann1.Glyma.18g280900
AOMT	Anthocyanin O-methyltransferase	glyma.Wm82.gnm1.ann1.Glyma05g36210
AOS1	allene oxide synthase	glyma.Wm82.gnm2.ann1.Glyma.14g078600
AOS2	allene oxide synthase	glyma.Wm82.gnm2.ann1.Glyma.17g246500
AOX1	ubiquinol oxidase 1, mitochondrial	glyma.Wm82.gnm2.ann1.Glyma.04g123800
AOX1A	alternative oxidase 1A  	glyma.Wm82.gnm1.ann1.Glyma04g14800
AOX2	alternative oxidase 2a	glyma.Wm82.gnm2.ann1.Glyma.08g072300
AOX3	alternative oxidase 3, mitochondrial	glyma.Wm82.gnm2.ann1.Glyma.08g072200
AP1A	agamous-like MADS-box protein AGL8 homolog	glyma.Wm82.gnm2.ann1.Glyma.06g205800
AP1b	Apetella 1 gene b	glyma.Wm82.gnm2.ann1.Glyma.01g064200
AP1c	Apetella 1 gene c	glyma.Wm82.gnm2.ann1.Glyma.08g250800
AP2-1	dehydration-responsive element-binding protein 3-like	glyma.Wm82.gnm2.ann1.Glyma.06g085700
AP2-2	AP2 domain-containing transcription factor 2	glyma.Wm82.gnm2.ann1.Glyma.04g084000
AP2-3	AP2 domain-containing transcription factor 3	glyma.Wm82.gnm2.ann1.Glyma.13g081600
AP2-4	AP2 domain-containing transcription factor 4	glyma.Wm82.gnm2.ann1.Glyma.14g147500
AP2-5	AP2 domain-containing transcription factor 5	glyma.Wm82.gnm2.ann1.Glyma.06g111300
AP2-6	AP2 domain-containing transcription factor 6	glyma.Wm82.gnm2.ann1.Glyma.04g251400
AP2-8	dehydration-responsive element-binding protein 2C-like	glyma.Wm82.gnm2.ann1.Glyma.02g261700
AP2-9	AP2-EREBP transcription factor	glyma.Wm82.gnm2.ann1.Glyma.11g018100
AP3a	Apetala 3 gene a	glyma.Wm82.gnm2.ann1.Glyma.01G169600
AP3b	Apetala 3 gene b	glyma.Wm82.gnm2.ann1.Glyma.06G027200
APS-5a2	Ascorbate peroxidase 5 gene a2	glyma.Wm82.gnm2.ann1.Glyma.11g080900
APX	Ascorbate Peroxidase	glyma.Wm82.gnm2.ann1.Glyma.03G038700
APX-1	Ascorbate peroxidase 1	glyma.Wm82.gnm2.ann1.Glyma.U021900
APX-2	Ascorbate peroxidase 2	glyma.Wm82.gnm2.ann1.Glyma.12G073100
APX-3a1	Ascorbate peroxidase 3 gene a1	glyma.Wm82.gnm2.ann1.Glyma.11G107200
APX-3a2	Ascorbate peroxidase 3 gene a2	glyma.Wm82.gnm2.ann1.Glyma.11G078400
APX-4a	Ascorbate peroxidase 4 gene a	glyma.Wm82.gnm2.ann1.Glyma.02G209000
APX-4b	Ascorbate peroxidase 6 gene b	glyma.Wm82.gnm2.ann1.Glyma.14G177200
APX-5a1	Ascorbate peroxidase 5 gene a1	glyma.Wm82.gnm2.ann1.Glyma.01G164700
APX1	ascorbate peroxidase 1, cytosolic	glyma.Wm82.gnm2.ann1.Glyma.u021900
APX2	L-ascorbate peroxidase 2	glyma.Wm82.gnm2.ann1.Glyma.12g073100
APX6	Ascorbate peroxidase 6 	glyma.Wm82.gnm2.ann1.Glyma.06G068200
AR791	actin binding	glyma.Wm82.gnm1.ann1.Glyma13g42970
ARF	ADP-ribosylation factor	glyma.Wm82.gnm2.ann1.Glyma.19g006400
ARF8A	auxin response factor 8a	glyma.Wm82.gnm2.ann1.Glyma.02g239600
ARF8B	auxin response factor 8b	glyma.Wm82.gnm2.ann1.Glyma.14g208500
ARGS	arginyl-tRNA synthetase	glyma.Wm82.gnm2.ann1.Glyma.01g006400
ARI1	putative E3 ubiquitin-protein ligase ARI1	glyma.Wm82.gnm2.ann1.Glyma.11g129000
ARI2	putative E3 ubiquitin-protein ligase ARI2	glyma.Wm82.gnm2.ann1.Glyma.12g053500
ARI3	putative E3 ubiquitin-protein ligase ARI3	glyma.Wm82.gnm2.ann1.Glyma.15g031100
ARI7	ariadne A subfamily protein ARI7	glyma.Wm82.gnm2.ann1.Glyma.11g121300
ARPC4	ARP2/3 complex 20 kDa subunit  4	glyma.Wm82.gnm2.ann1.Glyma.08G111500
AS1	asparagine synthetase 1	glyma.Wm82.gnm2.ann1.Glyma.18g061100
AS2	asparagine synthetase 2	glyma.Wm82.gnm2.ann1.Glyma.14g195000
ASNS	glutamine-dependent asparagine synthetase	glyma.Wm82.gnm2.ann1.Glyma.18G061100
ASP1	L-asparaginase	glyma.Wm82.gnm2.ann1.Glyma.14g086300
AT-1SNBP	HMG I/Y like protein	glyma.Wm82.gnm2.ann1.Glyma.08g052600
AT133	malonyl-CoA:isoflavone 7-O-glucoside-6''-O-malonyltransferase	glyma.Wm82.gnm2.ann1.Glyma.19g030500
ATG18b	yeast autophagy 18 gene b	glyma.Wm82.gnm1.ann1.Glyma02g36960
ATG3A	autophagy-related protein 3a	glyma.Wm82.gnm2.ann1.Glyma.12g005700
ATG6	beclin 1 protein	glyma.Wm82.gnm2.ann1.Glyma.11g153900
ATG7	autophagy-related protein ATG7	glyma.Wm82.gnm2.ann1.Glyma.12g010000
ATG8C	autophagy-related protein 8c	glyma.Wm82.gnm2.ann1.Glyma.15g108200
ATG8d	autophagy-related protein 8d	glyma.Wm82.gnm2.ann1.Glyma.12g098400
ATG8i	autophagy-related protein 8i	glyma.Wm82.gnm2.ann1.Glyma.02g008800
ATPC	ATP synthase gamma chain, chloroplastic	glyma.Wm82.gnm2.ann1.Glyma.15g107900
ATS9	NON-ATPASE SUBUNIT 9	glyma.Wm82.gnm1.ann1.Glyma04g08280
AUX28	Auxin-regulated protein 28	glyma.Wm82.gnm2.ann1.Glyma.19g161100
B12	AS3/PDS5-related	glyma.Wm82.gnm2.ann1.Glyma.06g062700
B13-1-1	syringolide-induced protein B13-1-1	glyma.Wm82.gnm2.ann1.Glyma.u040600
B13-1-9	syringolide-induced protein B13-1-9	glyma.Wm82.gnm2.ann1.Glyma.03g201300
B15-3-5	syringolide-induced protein B15-3-5	glyma.Wm82.gnm2.ann1.Glyma.03g001500
B3	B3 domain protein	glyma.Wm82.gnm2.ann1.Glyma.10g076100
BAG6A	BAG family molecular chaperone regulator 6	glyma.Wm82.gnm2.ann1.Glyma.07g061500
BBI	Bowman-Birk proteinase inhibitor	glyma.Wm82.gnm2.ann1.Glyma.09g158900
BBI-1	putative Bowman-Birk type protease inhibitor	glyma.Wm82.gnm2.ann1.Glyma.18g231500
BBI-2	Bowman-Birk type proteinase inhibitor	glyma.Wm82.gnm2.ann1.Glyma.18g231400
BBI-CII	Bowman-Birk type proteinase inhibitor C-II	glyma.Wm82.gnm2.ann1.Glyma.09g158800
BCAT	Branched-chain amino acid aminotransferase	glyma.Wm82.gnm2.ann1.Glyma.06G050100
BCCP2	Biotin carboxyl carrier protein 2	glyma.Wm82.gnm1.ann1.Glyma19g03530
BCH2	beta-carotene hydroxylase BCH2	glyma.Wm82.gnm2.ann1.Glyma.16g179100
BCH3	beta-carotene hydroxylase BCH3	glyma.Wm82.gnm2.ann1.Glyma.10g231200
BCH4	beta-carotene hydroxylase 4	glyma.Wm82.gnm2.ann1.Glyma.20g162600
BCH5	beta-carotene hydroxylase 5	glyma.Wm82.gnm2.ann1.Glyma.09g132200
BEHL1	BES1/BZR1 family protein	glyma.Wm82.gnm2.ann1.Glyma.01g178000
BEN1	Brassinosteriod Insensitive 1 Enhanced 1 gene	glyma.Wm82.gnm1.ann1.Glyma09g40590
BES1	Transcription Factor	glyma.Wm82.gnm2.ann1.Glyma.06G034000
BES1-1	protein BRI1-EMS-SUPPRESSOR 1	glyma.Wm82.gnm2.ann1.Glyma.17g248900
BES1-10	protein BRI1-EMS-SUPPRESSOR 1	glyma.Wm82.gnm2.ann1.Glyma.12g231400
BES1-11	protein BRI1-EMS-SUPPRESSOR 1	glyma.Wm82.gnm2.ann1.Glyma.13g266500
BES1-12	protein BRI1-EMS-SUPPRESSOR 1	glyma.Wm82.gnm2.ann1.Glyma.12g231500
BES1-4	protein BRASSINAZOLE-RESISTANT 1-like	glyma.Wm82.gnm2.ann1.Glyma.04g033800
BES1-6	protein BRI1-EMS-SUPPRESSOR 1	glyma.Wm82.gnm2.ann1.Glyma.11g064300
BES1-7	protein BRI1-EMS-SUPPRESSOR 1	glyma.Wm82.gnm2.ann1.Glyma.07g099100
BES1-8	protein BRI1-EMS-SUPPRESSOR 1	glyma.Wm82.gnm2.ann1.Glyma.14g127400
BES1-9	protein BRI1-EMS-SUPPRESSOR 1	glyma.Wm82.gnm2.ann1.Glyma.13g266600
BFA3	chloroplast stromal protein BFA3	glyma.Wm82.gnm2.ann1.Glyma.12g038800
